,kanji,hiragana/katakana,persian,english
568,遠慮せずに,えんりょせずに,بدون تعارف / خجالت نکش,
569,遠慮深い,えんりょぶかい,با ملاحظه,
570,鉛筆,えんぴつ,مداد,
571,塩,しお,نمک,
572,塩麹,しおこうじ,مالت برنج و نمک,
573,塩辛い,しおからい,شور,
574,汚い,きたない,کثیف,dirty
575,汚す,よごす,کثیف کردن,
576,汚れる,よごれる,کثیفی,
577,汚染,おせん,آلودگی,
578,奥の部屋,おくのへや,اتاق پشتی,
579,奥深く,おくふかく,عمیق,
580,﻿奥側,おくがわ,سمت عقب,
581,往復,おうふく,رفت و برگشت,
582,応じる,おうじる,پاسخ دادن,
583,応援,おうえん,تشویق,
584,応対,おうたい,پاسخ دادن,
585,応募,おうぼ,درخواست دادن,reply
586,応用,おうよう,"کاربرد ، استفاده عملی",
587,押し込んで,おしこんで,آن را به داخل فشار دهید,
588,押し入れ,おしいれ,کمد لباس,
589,横,よこ,کنار /عرض,
590,横になる,よこになる,به پهلو بخواب,
591,横断歩道,おうだんほどう,محل عبور عابر پیاده,
592,殴る,なぐる,اصابت کردن,
593,王記憶装置,おうきおくそうち,دستگاه ذخیره سازی اصلی,
594,黄色い,きいろい,زرد,
595,屋根,やね,پشت بام,
596,屋上,おくじょう,پشت بام,
597,恩恵により,おんけいにより,به لطف,thanks to
598,温まる,あたたまる,گرم شدن ,
599,温める,あたためる,گرم کردن,
600,温もり,ぬくもり,گرما,
601,温暖,おんだん,گرمای زیاد,
602,温暖化,おんだんか,گرمایش (زمین),
603,温度,おんど,درجه حرارت,
604,温度計,おんどけい,دماسنج,
605,温和な人,おんわなひと,فرد ملایم,
606,穏やかな,おだやかな,"آرام ، ملایم",calm
607,穏やかな人,おだやかなひと,فرد آرام,
608,音,おと,صدای وسایل,
609,音楽,おんがく,آهنگ,
610,音声通話,おんせいつうわ,تماس صوتی,
611,音符,おんぷ,توجه داشته باشید,
612,音無し,おとなし,بدون صدا,
613,下がる,さがる,کاهش دادن,
614,下げる,さける,رها کردن / جدا شدن,
615,下り,おりる,پایین رفتن,
616,下記,かき,نوشته زیر,
617,下車,げしゃ,پیاده شدن,
618,下手,へた,ضعیف تو چیزی,
619,下旬,げじゅん,اواخر,
620,下水道,げすいどう,فاضلاب,
621,下痢,げり,اسهال,diaria
622,化ける,ばける,تبدیل,
623,化学,かがく,علم شیمی,
624,化学物質,かがくぶっしつ,شیمیایی,chemical
625,仮説を立てる,かせつをたてる,فرضیه بسازید,
626,仮想記憶方式,かそうきおくほうしき,روش حافظه مجازی,
627,何れにしても,いずれにしても,در هر صورت,
628,何気ない,なにげない,گاه به گاه ,
629,何名様ですか？,なにめいさまですか？,چند نفر؟,
630,価格,かかく,قیمت ها,
631,価値,かち,ارزش داشتن,
632,価値観,かちかん,ارزش ها,
633,価枚,あたいまい,قیمت,
634,加える,くわえる,اضافه کردن,addition
635,加算,かさん,"اضافه کردن ، جمع",addition
636,加湿器,かしっき,مرطوب کننده,
637,加熱する,かねつする,بالا بردن دما,
638,可哀想です,かわいそうです,برات متاسفم,
639,可愛い,かわいい,ناز,
640,可視化,かしか,"بصری سازی
نمایش بصری",
641,可能,かのう,ممکن است,
642,可能であれば,かのうであれば,در صورت امکان,
643,可能な限り,かのうなかぎり,تا جایی که امکان دارد,
644,可能性,かのうせい,امکان پذیر بودن,
645,家,いえ,خانه,
646,家に籠もる,いえにかごもる,در خانه بمان,
647,家屋,かおく,خانه ,
648,家具,かぐ,لوازم خانه,
649,家事,かじ,کار خانه,house chores
650,家出する,いえでする,فرار از خانه,
651,家族,かぞく,خانواده,
653,家族滞在ビザ,かぞくたいざいびざ,ویزای اقامت خانواده,
654,家賃,やちん,اجاره,
655,家賃は,やちんは,اجاره است,
656,家庭,かてい,اعضای خانه,
657,家庭内の,かていないの,داخلی,domestic
658,家庭用,かていよう,استفاده خانگی,
659,家電,かでん,لوازم خانگی برقی,
660,科学者,かがくしゃ,دانشمند,
661,科目,かもく,موضوع درسی,
662,暇,ひま,بیکار,
663,歌,うた,آواز,
664,歌う,うたう,آواز خواندن,
665,歌手,かしゅ,خواننده,
666,歌舞伎町,かぶきちょう,کابوکیچو,
667,火災保険料,かさいほけんりょう,حق بیمه آتش سوزی,
668,火山,かざん,آتشفشان,
669,稼ぐ,かせぐ,"بدست آوردن
در آوردن",
670,稼げる,かせげる,کسب درآمد کنید,
671,稼働状況,かどうじょうきょう,وضعیت عملیاتی,
672,稼働率,かどうりつ,نرخ اشغال,
673,箇所,かしょ,بخش,
674,花びら,はなびら,گلبرگ,petal
675,花嫁,はなよめ,عروس,
676,花火,はなび,آتش بازی,
677,花束,はなたば,دسته گل,
678,花瓶,かびん,گلدان,
679,花粉,かふん,گرده گل,
680,花粉症,かぶんしょう,تب یونجه,
681,花婿,はなむこ,داماد,
682,荷造りをする,にづくりをする,بسته بندی کردن,
683,荷物,にもつ,بسته,
684,荷物を降ろす,にもつをおろす,تخلیه چمدان,
685,華やか,はなやか,جذاب,
686,課外,かがい,فوق برنامه,
687,課外活動,かがいかつどう,فعالیت فوق برنامه,
688,課外授業,かがいじゅぎょう,کلاس فوق برنامه,
689,課題,かだい,وظیفه,
690,貨物,かもつ,محموله,
691,貨物船,かもつせん,کشتی باری,
692,過ごす,すごす,"گذراندن زمان
بیش از حد نوشیدن",
693,過去,かこ,گذشته,
694,過去問,かこもん,سوالات گذشته,
695,過程,かてい,فرآیند,process
696,過半数,かはんすう,اکثریت,
697,過半数を占める,かはんすうをしめる,اکثریت را تشکیل می دهند,
698,過保護な親,かほごなおや,والدین بیش از حد محافظت کننده,
699,過労で倒れてしまった。,かろうでたおれてしまった。,از کار زیاد زمین خوردم,
700,過労死,かろうし,مرگ بر اثر کار زیاد,
701,我が家,わがや,خانه ما/خانه من,
702,我が国,わがくに,کشور ما,
703,我々,われわれ,ما,
704,我是你爹,わがぜ你爹,من پدر تو هستم,
705,我慢,がまん,"صبر،تحمل",patient
706,画素,がそ,پیکسل,pixel
707,画像,がぞう,تصویر,
708,画像解析,がぞうかいせき,تجزیه و تحلیل تصویر,
709,画面,がめん,صفحه نمایش,
710,介護,かいご,مراقبت های پرستاری,
711,介護現場,かいごげんば,مرکز مراقبت های پرستاری,
712,介護職等,かいごしょくとう,مراقبت های پرستاری و غیره,
713,介護福祉,かいごふくし,رفاه مراقبت های پرستاری,
714,介護福祉士,かいごふくしし,کارگر مراقب از سالمندان,
715,会う,あう,ملاقات کردن,
716,会館、ホール,かいかん,سالن اجتماعات,auditorium
717,会議,かいぎ,جلسه,
718,会社,かいしゃ,شرکت,company
719,会釈する,えしゃく,سلام دادن از دور,
720,会場,かいじょう,محل برگزاری,
721,会費,かいひ,حق عضویت,
722,会話,かいわ,مکالمه,
723,解つみです,かいつみです,دارم حل میکنم,
724,解決,かいけつ,مسئله 100 درصد حل شده,
725,解決する,かいけつ,حل کردن,
726,解散,かいさん,انحلال,
727,解析力学,かいせきりきがく,مکانیک تحلیلی,analytical mechanics
728,解説する,かいせつ,توضیح دادن,
729,解答する,かいとうする,جواب دادن,to answer
730,解答用紙,かいとうようし,کاغذ پاسخنامه,
731,解約する,かいやく,قرارداد را لغو کنید,
732,解約をご希望である旨,かいやくをごきぼうであるむね,که می خواهید قرارداد را فسخ کنید,
733,回る,まわる,چرخاندن,
734,回数券,かいすうけん,بلیط کوپنی,
735,回線契約,かいせんけいやく,قرارداد خط,
736,回転する,かいてんする,چرخیدن,whirling
737,回転寿司,かいてんすし,سوشی تسمه نقاله,
738,回答,かいとう,جواب,
739,回避する,かいひする,برای جلوگیری,
740,回復,かいふく,بهبود یافتن,
741,回覧,かいらん,عبور دور برای مطالعه,
742,壊れやすい,こわれやすい,شکننده,fragile
743,壊れる,こわれる,شکستن خراب شدن,
744,快速,かいそく,سریع,
745,快適,かいてき,آسایش و راحتی,
746,快適な,かいてきな,راحت,comfortable
747,快適に,かいてきに,راحت,comfortably
748,怪しい,あやしい,مشکوک,
749,怪我,けが,جراحت,
750,怪我します,けがします,صدمه دیدن,
751,怪物,かいぶつ,هیولا,
752,悔しい,くやしい,تاسف آور,
753,懐かしい,なつかしい,نوستالژیک,
754,改ざん,かいざん,"دستکاری
تحریف",
755,改める,あらためる,"شروع جدید ، تغییر",
756,改善,かいぜん,بهبود,
757,改善する,かいぜんする,بهبود یافتن (صد درصد نیست ),to improve
758,改定する,かいていする,تجدید نظر کنید,
759,改変,かいへん,"تغییر ، اصلاح",modification
760,海外,かいがい,خارج کشور,
761,海外旅行,かいがいりょこう,سفر برون مرزی,
762,海水面,かいすいめん,سطح دریا,
763,海水浴,かいすいよく,آبتنی تو دریا,
764,絵,え,نقاشی,
765,絵の具,えのぐ,ابزار نقاشی,
766,絵画,かいが,اثر هنری,
767,開く,あく,باز شدن,
768,開運,かいうん,آرزوی موفقیت,
769,開催,かいさい,برگزار شد,
770,開始,かいし,شروع چیزی,
771,開始する,かいしする,شروع کردن,launch
772,開発する,かいはつ,توسعه دادن,
773,開発手法,かいはつしゅほう,روش توسعه,development methods
774,開封,かいふう,باز کردن / جعبه گشایی,
775,開封する,かいふする,باز کردن پلاستیک,
776,開封無効,かいふうむこう,غیر قابل باز شدن,
777,階層,かいそう,سلسله مراتب,
778,階層構造,かいそうこうぞう,ساختار پیشرفته,
779,階段,かいだん,راه پله,
780,外,そと,بیرون,
781,外科,げか,عمل جراحی,
782,外交関係,がいこうかんけい,روابط دیپلماتیک,
783,外国,がいこく,خارج از کشور,
784,外国人,がいこくじん,خارجی,
785,外出,がいしゅつ,بیرون رفتن,
786,外食,がいしょく,بیرون غذا خوردن,
787,外食する,がいしょくする,بیرون غذا خوردن,
788,外相,がいしょう,وزیر امور خارجه,
789,外装部品,がいそうぶひん,قطعات خارجی,
790,外側の青葉,そとがわのあおば,برگ های سبز بیرونی,
791,外付け,そとつけ,خارجی,external
792,外部,がいぶ,خارجی,
793,咳,せき,سرفه,cough
794,概念,がいねん,مفهوم,
795,概要,がいよう,بررسی اجمالی,
796,蓋,ふた,درب قابلمه و ..,
797,街,まち,شهر,
798,街道,かいどう,بزرگراه,
799,該当する,がいとうする,"مطابقت داشتن ، مرتبط بودن",correspond
800,各位,かくい,همه عزیزان,
801,各種,かくしゅ,مختلف,
802,各地,かくち,"هرجا ، مکان های مختلف",
803,各配偶者,"かくはい
ぐうしゃ",هر زن و شوهری,
804,格好良い,かっこういい,خوش تیپ,
805,格助詞,かくじょし,ذرات مورد,
806,格納,かくのう,ذخیره اطلاعات,
807,獲得,かくとく,کسب کردن,
808,確かに,たしかに,مسلما,
809,確かめる,たしかめる,تأیید کردن,
810,確実に,かくじつに,به طور قطع,
811,確認,かくにん,بررسی و تایید,
812,確認する,かくにんする,مطمئن شدن,make sure
813,確認事項,かくにんじこう,موارد برای بررسی,
814,確率分布,かくりつぶんぷ,توزیع احتمال,probability distribution
